['13688', '241.1945926716471', '35.25435787975809']
['8993', '87.9225181598063', '69.00726392251816']
['5247', '41.90121951219512', '80.48780487804879']
['1034', '48.80154639175258', '63.65979381443299']
['954', '103.160409556314', '62.79863481228669']
['852', '55.7667638483965', '74.9271137026239']
['607', '192.54205607476635', '66.82242990654206']
['573', '79.20370370370371', '74.44444444444444']
['475', '64.90625', '86.25']
['267', '87.52739726027397', '70.54794520547945']
['249', '1333.7333333333333', '26.666666666666668']
['240', '87.59770114942529', '60.91954022988506']
['158', '63.48051948051948', '74.02597402597402']
['149', '549.5', '31.25']
['145', '5210.5', '0.0']
['142', '375.9032258064516', '51.61290322580645']
['139', '432.5', '50.0']
['135', '46.23456790123457', '83.9506172839506']
['132', '108.29166666666667', '37.5']
['131', '123.41538461538461', '72.3076923076923']
['127', '41.352112676056336', '81.69014084507043']
['125', '584.3333333333334', '66.66666666666666']
['124', '35.380434782608695', '86.95652173913044']
['121', '213.16666666666666', '16.666666666666664']
['120', '2934.0', '0.0']
['117', '2913.0', '0.0']
['115', '2933.0', '0.0']
['115', '2957.0', '0.0']
